model,classifier,nn_number,epochs,batch-size,learning-rate,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
traditional,svm,-,-,-,-,-,+,+,+,+,+,+,-,-,+,-,0.7206740116655865,0.4448,0.550086569379174,0.6362
traditional,svm,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,0.5691105769230769,0.7576,0.6499656829100892,0.592
traditional,svm,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,0.7823741007194245,0.174,0.2846858638743456,0.5628
traditional,svm,-,-,-,-,-,+,+,+,+,+,-,-,-,-,-,0.6824703680598877,0.4376,0.5332683402388496,0.617
traditional,svm,-,-,-,-,-,+,+,+,+,-,+,-,-,+,-,0.663567693201627,0.4568,0.541104003790571,0.6126
traditional,svm,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,0.6669178598342125,0.354,0.46250326626600463,0.5886
traditional,svm,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,0.633833646028768,0.8108,0.7114777114777115,0.6712
traditional,svm,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,0.6434285714285715,0.4504,0.5298823529411766,0.6004
traditional,svm,-,-,-,-,-,+,+,+,-,+,+,-,-,+,-,0.7671480144404332,0.34,0.47117516629711753,0.6184
traditional,svm,-,-,-,-,-,+,+,+,-,+,+,-,-,-,-,0.6799307958477508,0.3144,0.4299781181619256,0.5832
traditional,svm,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,0.6751787538304392,0.2644,0.37999425122161545,0.5686
traditional,svm,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,0.5122989593188269,0.8664,0.6438763376932223,0.5208
traditional,svm,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,0.6709876543209876,0.4348,0.5276699029126213,0.6108
traditional,svm,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,0.7130434782608696,0.2624,0.38362573099415204,0.5784
traditional,svm,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,0.5078092889436909,0.9884,0.6709204452891664,0.5152
traditional,svm,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,0.5676634566649772,0.896,0.6950046540490226,0.6068
traditional,svm,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,0.7390586292320397,0.358,0.48234977095122605,0.6158
traditional,svm,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,0.5887281035795887,0.6184,0.6031993757315645,0.5932
traditional,svm,-,-,-,-,-,+,+,-,+,+,-,-,-,+,-,0.7220496894409938,0.372,0.49102428722280894,0.6144
traditional,svm,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,0.6985793699814701,0.4524,0.5491624180626365,0.6286
traditional,svm,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,0.6664560960202148,0.422,0.5167768797452853,0.6054
traditional,svm,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,0.6767241379310345,0.2512,0.36639439906651106,0.5656
traditional,svm,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,0.5994310835272821,0.9272,0.7281294173079944,0.6538
traditional,svm,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,0.6824480369515011,0.7092,0.6955668889760691,0.6896
traditional,svm,-,-,-,-,-,+,+,-,-,+,+,-,-,+,-,0.7335610589239966,0.3436,0.467992372650504,0.6094
traditional,svm,-,-,-,-,-,+,+,-,-,+,+,-,-,-,-,0.7279046673286991,0.2932,0.41802110065583115,0.5918
traditional,svm,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,0.6782115869017632,0.4308,0.526908023483366,0.6132
traditional,svm,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,0.7044334975369458,0.4576,0.5548011639185257,0.6328
traditional,svm,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,0.7922755741127349,0.3036,0.4389820705610179,0.612
traditional,svm,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,0.6671961874503575,0.336,0.446927374301676,0.5842
traditional,svm,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,0.7021870637505817,0.6036,0.6491718649171865,0.6738
traditional,svm,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,0.640502354788069,0.4896,0.5549761958739514,0.6074
traditional,svm,-,-,-,-,-,+,-,+,+,+,+,-,-,+,-,0.6690427698574338,0.5256,0.5887096774193548,0.6328
traditional,svm,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,0.6541889483065954,0.2936,0.40530093870789624,0.5692
traditional,svm,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,0.5952773201537617,0.4336,0.5017357093265448,0.5694
traditional,svm,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,0.5642361111111112,0.52,0.5412156536219817,0.5592
traditional,svm,-,-,-,-,-,+,-,+,+,-,+,-,-,+,-,0.8107448107448108,0.2656,0.400120518228382,0.6018
traditional,svm,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,0.7388059701492538,0.3168,0.4434490481522957,0.6024
traditional,svm,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0.6885758998435054,0.176,0.2803440586173941,0.5482
traditional,svm,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0.6128775834658188,0.3084,0.4103246407663651,0.5568
traditional,svm,-,-,-,-,-,+,-,+,-,+,+,-,-,+,-,0.6506287588846364,0.476,0.5497805497805498,0.6102
traditional,svm,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,0.6608996539792388,0.4584,0.5413320736891828,0.6116
traditional,svm,-,-,-,-,-,+,-,+,-,+,-,-,-,+,-,0.7227272727272728,0.1272,0.2163265306122449,0.5392
traditional,svm,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,0.49346608587429996,0.9516,0.6499112143149843,0.4874
traditional,svm,-,-,-,-,-,+,-,+,-,-,+,-,-,+,-,0.6721877156659766,0.3896,0.4932894403646493,0.5998
traditional,svm,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,0.6016548463356974,0.4072,0.4856870229007634,0.5688
traditional,svm,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,0.5458593054318789,0.9808,0.7013729977116704,0.5824
traditional,svm,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,0.5179786200194364,0.2132,0.3020685746670445,0.5074
traditional,svm,-,-,-,-,-,+,-,-,+,+,+,-,-,+,-,0.7613741875580315,0.328,0.4584847637685211,0.6126
traditional,svm,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,0.6795755968169761,0.5124,0.5842645381984036,0.6354
traditional,svm,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,0.6378351036924633,0.5044,0.5633236542327451,0.609
traditional,svm,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,0.6720044174489233,0.4868,0.5646021804685687,0.6246
traditional,svm,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,0.7238723872387238,0.2632,0.38603696098562623,0.5814
traditional,svm,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,0.63596214511041,0.4032,0.4935128518971848,0.5862
traditional,svm,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,0.5400307084887037,0.9848,0.6975492279359682,0.573
traditional,svm,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0.6590052750565185,0.6996,0.6786961583236322,0.6688
traditional,svm,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,0.7358757062146892,0.4168,0.5321756894790602,0.6336
traditional,svm,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,0.6877567789646672,0.3348,0.45036319612590797,0.5914
traditional,svm,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,0.6374384236453202,0.5176,0.5713024282560707,0.6116
traditional,svm,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,0.5945945945945946,0.5984,0.5964912280701755,0.5952
traditional,svm,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,0.5124835742444153,0.624,0.5627705627705628,0.5152
traditional,svm,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,0.6467619848612279,0.3076,0.41691515315803734,0.5698
traditional,svm,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,0.5322934973637962,0.9692,0.6871809415768576,0.5588
traditional,svm,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0.6026277372262774,0.8256,0.6967088607594936,0.6406
traditional,svm,-,-,-,-,-,-,+,+,+,+,+,-,-,+,-,0.8096646942800789,0.3284,0.4672737620944793,0.6256
traditional,svm,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,0.7309368191721133,0.2684,0.39262726740784093,0.5848
traditional,svm,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,0.5284609978917779,0.9024,0.6665681784606293,0.5486
traditional,svm,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0.5059914085462356,0.8952,0.6465405171168569,0.5106
traditional,svm,-,-,-,-,-,-,+,+,+,-,+,-,-,+,-,0.6479949077021006,0.4072,0.5001228199459592,0.593
traditional,svm,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,0.6972677595628415,0.2552,0.3736456808199121,0.5722
traditional,svm,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,0.6203473945409429,0.4,0.4863813229571985,0.5776
traditional,svm,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0.6186868686868687,0.49,0.546875,0.594
traditional,svm,-,-,-,-,-,-,+,+,-,+,+,-,-,+,-,0.7261103633916555,0.4316,0.5413948820873056,0.6344
traditional,svm,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,0.7093358999037536,0.2948,0.4165018366770274,0.587
traditional,svm,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,0.5927116827438371,0.2212,0.322167200699097,0.5346
traditional,svm,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0.5240931239848403,0.7744,0.6251210849208912,0.5356
traditional,svm,-,-,-,-,-,-,+,+,-,-,+,-,-,+,-,0.6666666666666666,0.388,0.49051833122629585,0.597
traditional,svm,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,0.7165259348612787,0.2376,0.35686392310003,0.5718
traditional,svm,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,0.5474475414970248,0.6992,0.6140874758475321,0.5606
traditional,svm,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0.5357142857142857,0.996,0.6966983771684389,0.5664
traditional,svm,-,-,-,-,-,-,+,-,+,+,+,-,-,+,-,0.7065637065637066,0.366,0.4822134387351778,0.607
traditional,svm,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,0.6726190476190477,0.3164,0.43035908596300326,0.5812
traditional,svm,-,-,-,-,-,-,+,-,+,+,-,-,-,+,-,0.52088772845953,0.798,0.6303317535545023,0.532
traditional,svm,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,0.636427076064201,0.3648,0.463768115942029,0.5782
traditional,svm,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,0.7866666666666666,0.3304,0.46535211267605636,0.6204
traditional,svm,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,0.6805429864253394,0.3008,0.41719833564493763,0.5798
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,0.6333872271624899,0.6268,0.630076397265782,0.632
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,0.6330216059335698,0.7852,0.7009462595965006,0.665
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,0.7636103151862464,0.4264,0.5472279260780287,0.6472
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,0.757912745936698,0.3544,0.4829653856636686,0.6206
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,0.5669077757685352,0.2508,0.34775374376039936,0.5296
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,0.5871954132823698,0.4916,0.5351622033529283,0.573
traditional,svm,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,0.7170542635658915,0.296,0.41902604756511896,0.5896
traditional,svm,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,0.7580246913580246,0.2456,0.37099697885196375,0.5836
traditional,svm,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,0.616641452344932,0.8152,0.7021533161068044,0.6542
traditional,svm,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,0.6039856923863056,0.9456,0.7371375116931712,0.6628
traditional,svm,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,0.744220730797912,0.3992,0.5196563394949232,0.631
traditional,svm,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,0.6415410385259631,0.4596,0.5355395012817525,0.6014
traditional,svm,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,0.5221238938053098,0.9204,0.6662805849138556,0.539
traditional,svm,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0.56237721021611,0.458,0.5048500881834216,0.5508
traditional,svm,-,-,-,-,-,-,-,+,+,-,+,-,-,+,-,0.7381703470031545,0.3744,0.4968152866242038,0.6208
traditional,svm,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,0.6428571428571429,0.3816,0.4789156626506024,0.5848
traditional,svm,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,0.5176935886761033,0.9948,0.6809967141292443,0.534
traditional,svm,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0.5298313878080415,0.9804,0.6879034521470672,0.5552
traditional,svm,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,0.7953488372093023,0.2736,0.4071428571428571,0.6016
traditional,svm,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,0.7304913294797688,0.4044,0.5205973223480946,0.6276
traditional,svm,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,0.5877192982456141,0.2144,0.31418522860492376,0.532
traditional,svm,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,0.5988764044943821,0.2132,0.31445427728613573,0.5352
traditional,svm,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0.8034993270524899,0.2388,0.36817761332099913,0.5902
traditional,svm,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,0.6708023159636063,0.3244,0.4373146400647075,0.5826
traditional,svm,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,0.6030558154038042,0.7736,0.6777641492903452,0.6322
traditional,svm,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0.6026165167620605,0.8844,0.7168098557302642,0.6506
traditional,svm,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,0.7694117647058824,0.3924,0.5197350993377484,0.6374
traditional,svm,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,0.7343336275375111,0.3328,0.4580236718965043,0.6062
traditional,svm,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,0.61796875,0.6328,0.625296442687747,0.6208
traditional,svm,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,0.628463476070529,0.5988,0.6132732486685785,0.6224
traditional,svm,-,-,-,-,-,-,-,-,+,-,+,-,-,+,-,0.7118126272912424,0.2796,0.40149339460080413,0.5832
traditional,svm,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,0.7253032928942807,0.3348,0.45812807881773404,0.604
traditional,svm,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,0.5431006227466404,0.6628,0.5970095478292199,0.5526
traditional,svm,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0.5727686947199142,0.8548,0.6859252126464451,0.6086
traditional,svm,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,0.6601200218221495,0.484,0.5585045003461805,0.6174
traditional,svm,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,0.7035256410256411,0.3512,0.46851654215581645,0.6016
traditional,svm,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,0.5982795698924731,0.5564,0.5765803108808291,0.5914
traditional,svm,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,0.6052830188679246,0.6416,0.6229126213592232,0.6116
traditional,svm,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,0.6318373071528752,0.3604,0.4589913397860418,0.5752
traditional,svm,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,0.6812993854258121,0.3104,0.4264907941742237,0.5826
traditional,svm,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,0.5,0.4,0.4444444444444445,0.5
